site,cond,pH,catchment,vegetated,barren,lakes,glacier,salmon catch
ELL,90,7.9,270,230,38,2,0,1145
GER,56,7.3,139,106,33,0,0,51
GRE,114,,20,9,11,0,0,
GRITUN,88,8.25,258,156,91,8,2,1338
HAF,58,7.4,292,204,83,4,0,239
HOF,73,,473,175,274,1,23,13
LAX,153,9.2,2150,1088,1009,53,0,1626
LEI,34,8,130,122,7,1,0,478
MID,112,8.8,716,685,15,16,,1242
NOR,68,7.9,528,496,27,6,0,1640
YRI,210,8.2,572,215,353,1,2,57
REY,126,,175,145,28,1,2,98
SAT,74,7.6,268,219,48,1,0,231
STA,63,7.2,165,146,16,3,0,65
SVA,79,7.7,250,207,41,1,0,179
VAT,125,7.8,1012,862,126,25,,891
VEV,117,7.6,146,120,24,2,0,213
VES,118,8.4,229,220,4,6,0,421
NUP,114,8.3,89,87,1,2,0,80
AUS,102,8,332,314,10,9,0,361
